epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,20500.4,0.72791,0.44712,0.00735,0.91355,0.87841,0.90426,0.69183,0.91591,0.63025,0.01128,4.27838e-05,4.27838e-05,4.27838e-05
137,20638.4,0.7237,0.45868,0.00737,0.90704,0.88092,0.90368,0.69282,0.91175,0.6419,0.01118,3.89086e-05,3.89086e-05,3.89086e-05
138,20773.3,0.73894,0.47379,0.00751,0.92589,0.86679,0.90321,0.69152,0.91297,0.6467,0.01118,3.52932e-05,3.52932e-05,3.52932e-05
139,20907.1,0.73793,0.46475,0.00737,0.91797,0.87077,0.90436,0.69362,0.91343,0.64143,0.01115,3.19392e-05,3.19392e-05,3.19392e-05
140,21041.1,0.73415,0.46789,0.00745,0.92538,0.86696,0.90454,0.69275,0.91616,0.63289,0.01124,2.88481e-05,2.88481e-05,2.88481e-05
141,21213.7,0.64475,0.32644,0.00767,0.89583,0.88478,0.89725,0.68837,0.92765,0.63172,0.01135,2.60212e-05,2.60212e-05,2.60212e-05
142,21347.6,0.64566,0.29486,0.00768,0.90771,0.87047,0.89714,0.6883,0.93394,0.62797,0.01136,2.34598e-05,2.34598e-05,2.34598e-05
143,21481.4,0.63556,0.28541,0.00747,0.91003,0.87384,0.89656,0.68804,0.93189,0.61856,0.01133,2.1165e-05,2.1165e-05,2.1165e-05
144,21614.9,0.62379,0.26971,0.00738,0.89913,0.88452,0.89584,0.68571,0.92881,0.62363,0.01136,1.91377e-05,1.91377e-05,1.91377e-05
145,21747.9,0.63159,0.27331,0.0074,0.90239,0.88511,0.89825,0.68594,0.93411,0.62256,0.01142,1.7379e-05,1.7379e-05,1.7379e-05
146,21881.2,0.62494,0.27161,0.00743,0.90136,0.88415,0.89767,0.68534,0.93453,0.61811,0.01143,1.58896e-05,1.58896e-05,1.58896e-05
147,22014.3,0.62333,0.27164,0.0073,0.89851,0.88521,0.89824,0.68751,0.93162,0.61924,0.01143,1.467e-05,1.467e-05,1.467e-05
148,22148.3,0.61839,0.27216,0.00727,0.90302,0.88385,0.89817,0.68732,0.92932,0.62101,0.01138,1.3721e-05,1.3721e-05,1.3721e-05
149,22288.1,0.61713,0.27123,0.00706,0.90583,0.87953,0.89807,0.68581,0.9297,0.61244,0.01141,1.30427e-05,1.30427e-05,1.30427e-05
150,22425.5,0.62659,0.26854,0.00734,0.89813,0.88366,0.89757,0.68553,0.92869,0.62554,0.01141,1.26357e-05,1.26357e-05,1.26357e-05
